item_id,item_price,product_type
I629,764.5,D484
I190,1566.5,I986
G00,1008,G003
C0530,1600,C884
C4476,65077,F403
B05919,858,C313
G7271,947.5,E110
G0158,2692.5,B845
B0368,10208,D561
G9852,588.5,H982
B18974,354,I570
B03858,4838,J074
B16173,1436.5,F849
C1039,7040,B740
B15303,2877,D236
B7176,2848,G0
F4804,1437,C356
J793,1091.5,G640
B0552,1987,C31
G7875,2013,J658
B3513,1031,G0
F429,1149,B931
D4948,636.5,C189
C8830,4454,F276
B29024,2473.5,B359
H9266,476.5,J13
B05762,3360,H363
H9578,58924.5,D184
B06064,2787,I774
B7105,1766,C494
I7940,1987,D517
B5961,979,H595
F6103,8611,B0269
J7456,1146,C305
J2504,1440,B0121
B16375,3139,E057
C1233,1916.5,H881
B13682,353.5,D744
I8534,89049.5,F403
B30176,1888,E66
B06836,1005,C521
B07828,1510,H881
B27907,1306.5,E097
B22789,82832.5,F403
D2341,486.5,I956
I5609,1722,D165
B7511,1981,J780
F7385,864,B0190
D5823,5684.5,I932
G1122,16288,B943
E9214,5120,C331
E4186,2320,J839
D2561,7008,D057
B10691,1123,D05
B9885,866.5,B0304
D8153,950,I708
I8572,20684.5,E282
B0807,8208,E517
B06732,457.5,J471
J3773,1056,E423
J624,31968,F293
H3936,1059.5,E524
B13382,905.5,H768
C9705,5043.5,D197
H9972,828.5,E865
B369,2848,B0239
B1827,5155,J677
B00285,1062.5,G822
B04155,892.5,C506
I8969,732.5,H948
B05037,1123,F933
B03615,928,H291
I2453,828.5,I41
J3501,1011,B500
E9166,2848,H392
J3769,1725,B20
I8156,1607,E450
C8612,633.5,H923
C8192,6048,H428
I5594,1987,J035
E000,2192,I817
B01734,905.5,H768
B8841,2073.5,F316
G0983,835,G120
G8841,2157,J86
B1343,2672.5,I305
F3800,1296,B252
H464,332.5,E558
I58,1996,C791
B05990,460.5,E144
E7072,313.5,B0152
B28689,4584.5,C384
B12646,435,H203
H2795,688,B236
I9202,2364.5,D050
I2459,1002,E253
D6703,3312,F84
E2442,5149,B919
B15571,956.5,F545
F0142,936,B588
F7254,2672.5,B073
G4428,334,J977
B16059,4220.5,E986
B5011,1497.5,E098
B09004,380,D001
B778,2298,I121
G844,1149,C189
H4469,1177.5,E771
J0687,432,J839
D3122,1059.5,B392
B3001,964.5,G01
E2917,1756.5,B0239
B32636,1722,C065
E8354,1872,I744
B3921,2457,D528
G0270,3621,D207
B03225,2010,E832
B13064,1725,D181
J2048,1084.5,B0544
J4808,1411,D844
I1597,2301,B192
B4990,944.5,D529
H6633,976,E034
D8587,10560,B0185
D1513,1771,G822
B01309,1232,H387
B18416,540.5,B0152
G4335,1996.5,J741
C0282,13478,D009
J1026,2874,E017
B22564,1888,B529
C0407,3008,E240
I3380,633.5,G978
E1397,2546.5,D619
I7606,1437,J629
G5482,316.5,H233
G8228,604.5,B374
J6672,860.5,B236
B10870,1722,C51
B8374,704,B0271
E9982,2505.5,D163
H4754,1005,I997
I2498,1722,C699
F1291,1276.5,B0573
I6598,316.5,F362
E532,1152,H388
E0144,6500,I404
D0745,380.5,H233
B08816,1722,E937
E2714,956.5,I570
C5774,1987,B0077
G0045,1909,B878
E973,2361.5,E458
B6398,1148.5,E956
H0334,384,C85
H7926,1136,J041
B07163,316.5,I744
B4174,466.5,E850
B19109,1049.5,B231
H8389,1209.5,J870
G2972,2589,D784
B25908,220.5,G673
B24336,8480,D561
B22411,2860.5,C931
B25604,1520,H532
C0220,864,H933
E7415,76326,F403
G6861,950,I749
H6920,1008,E609
F2996,8064,E051
C640,953.5,B921
G2555,4416,I374
C5949,1238,J181
H5979,3017.5,H170
C228,866.5,G608
E467,601.5,C720
I1427,889.5,I663
D5254,1913.5,I069
F9468,441.5,C31
B5676,1146,G607
H7507,23968,E755
D7117,5019.5,J441
E1384,569.5,D113
I5035,9504,D593
G2510,1235.5,I867
B1484,4896,E998
B0706,1593.5,B231
J8545,3005,E924
H7043,13772.5,F432
J5208,2298,B380
B32646,2203,J780
B01069,1563.5,I606
E9045,441.5,H203
E1537,1264,G661
B2963,1305.5,B0304
B21427,10080,I929
G8474,1206.5,C375
B06377,2013,E222
B91,1272.5,C874
B0915,2208,C09
B27672,1560,D528
H2548,4809.5,B073
F0581,633.5,G162
B31494,1900.5,E998
B27445,2684,B5
C5229,1411,B0025
B17588,1276.5,E9
J06,1296,C929
F4332,4867,B0414
E3076,1339,B049
C6909,80,D248
B2775,633.5,B982
C8820,976,B588
J0699,1197,G936
B12025,640,E253
D5150,928,I274
C0287,16,D062
H2600,2701,E068
E7757,947.5,G661
C0753,796.5,E438
C3684,964.5,G367
D5168,825.5,H315
I9641,720,F622
C5291,400,C111
E8258,5155,C315
D056,316.5,D521
G0598,552.5,B610
E6838,2589,H701
B14800,9139,C099
B07168,82832.5,F403
H3517,2234,D372
B06734,1209.5,D978
D7226,2301,J61
B24703,835,C779
G7309,1278.5,J432
C0728,316.5,B90
C5140,48384,G941
B02963,620.5,E292
H0198,1117,E524
J1733,1149,G077
B11658,979,E401
I810,3488,E76
I3035,858,I495
B2334,736,H753
B7050,813,H539
E8674,224,B110
G2493,4868.5,I765
F2414,2203,E998
E4361,5408,G597
E0427,7328,G598
C1579,230,F700
J6617,1357,C111
F5494,2301,J658
J9970,1267,D142
H6054,32000,F403
J2990,4480,J559
D3312,2556.5,B713
B04404,928,B619
I8529,316.5,E988
B00836,4448,G822
B28270,2528,D045
J2376,921.5,B892
E7458,316.5,H57
B27595,1091.5,J375
B7675,18958,J259
H4937,1308.5,B0411
B4423,288,C874
C9383,476.5,C466
H7950,432,J865
B27323,1725,D236
C5439,947.5,C774
H8790,188.5,D327
C6096,480,C994
C1676,35168,D184
B30114,1699,J606
H7856,1088,E017
B01728,316.5,D328
B23374,764.5,I834
I4737,1437,I834
E2000,1843,C906
B19247,1065.5,B392
B10295,348.5,C510
G9142,2874,C087
C5098,1152,E144
G097,1296,H388
B16329,872.5,C874
D6852,1385,C056
B05324,1372.5,H233
H1719,1564.5,I857
C7047,4115.5,I368
B18253,4029,I989
B24800,1578,J927
D7748,192,E144
J3439,1008,B892
B02767,1670,E794
B23045,1699,D346
B18277,1725,C356
B0333,1072,C180
G8079,13700,F403
C5110,1987,C494
E0487,12484.5,J259
B11739,1411,B552
B14857,185.5,D635
B22657,672,I411
I8365,316.5,J035
G4535,1477,B0304
E1509,889.5,F276
C4400,7904,C874
E3239,1033.5,H249
D5166,608,E422
E4425,403,F688
J5328,7648,G77
E3165,2851,F544
B08457,952,D632
H4536,672,F276
C2072,2688,E017
J1309,160,D272
H0743,20128,J608
I4895,1152,E616
B19878,570,C150
E0846,800,E144
B26895,6336,J641
B26476,1699,G417
C2085,483,I506
D9830,508.5,C111
B20397,1788.5,D062
D3120,537.5,B0098
B0578,1031,D392
I1478,640,E144
E710,412.5,I984
I1293,1276.5,C164
B28375,4608,F403
B19337,1275.5,I986
B01444,435,I481
I3610,1048,F814
B14828,828.5,I506
G2054,1049.5,G607
J7872,24508,F403
G7073,185,H233
B04027,1267,J695
B14234,350,G648
B04344,400,H577
D1414,1722,E47
B08999,2016,D774
B22691,1664,E90
C6951,540.5,C456
B03455,1276.5,G117
F1582,3136,E757
B32773,138,E348
B206,217.5,H448
B15980,857.5,D35
G4093,1005,F622
B04371,30528,C953
D2492,1408,J189
B27659,1725,B192
B8927,3484.5,C376
H8120,928,C967
F5965,457.5,H22
B06176,1437,H069
D3616,1566.5,I899
E637,400,B236
I180,532.5,F739
B13826,459.5,I577
D2051,7984,B417
J8274,828.5,I834
B26755,444.5,J469
D312,2553.5,G939
B04407,412.5,B231
J7925,4291,B0400
F0504,1881.5,E422
C2884,1600,F622
H6302,416,E077
I506,889.5,C826
J2590,2624,G62
J7770,1088,F226
C1963,473.5,I069
H4367,667.5,C134
G8987,800,B425
E5937,1278.5,C111
B27875,1149,F650
B04794,825.5,D113
B05988,1725,J658
F4639,604.5,D071
G6778,918.5,B0116
B09136,2233.5,G117
B14783,11174,G878
J4033,8832.5,D44
F2722,156.5,H701
H7197,380.5,B732
I2152,284.5,C150
B20453,803.5,J247
H1514,284.5,B0152
H1083,1005,I500
D918,1051,G303
B1524,672,B0019
C1041,1146,F055
B1185,400,J848
B2734,405,I834
G0914,947.5,G419
C4920,1276.5,J341
G0440,2563,B192
D9087,4592,B672
B25806,220.5,C72
B12227,396.5,C724
B23213,720,E449
H6522,662.5,G936
E3975,1276.5,B0344
F9631,354,I475
B32468,570,H467
B06657,2013,E222
H9293,1065.5,C167
F2466,1523.5,E261
F5300,2131,B859
I106,2361.5,I007
F6826,3136,E389
B3352,2275,D880
B7943,3200,C884
I5491,688,B840
H483,701,C159
J3624,947.5,B071
G0935,284.5,H233
C2902,4579,I726
I032,953,H428
B08366,2298,G786
I8648,1888,H246
C7365,11456,H899
G91,1555,G23
H2393,3209.5,E576
I4876,1350.5,B690
I7221,1411,J41
F2277,1145.5,B0304
C1274,8132.5,G825
J2793,457.5,G864
B08415,220.5,F416
F7454,23680,D893
B26557,300.5,C920
E9591,752,H344
J4102,1279,B155
H2758,1929.5,J86
H6149,320,C874
J8612,3872,H111
B00322,1267,B0127
B10121,1123,E300
E6284,1987,J723
B23310,10214,D009
B26924,573,E362
I888,996.5,J225
B16380,1235.5,F060
B7688,1321.5,G014
J0725,380.5,I984
B25692,6368,G678
I6324,2013,J099
E5607,1005,E631
F5467,332.5,H738
I67,889.5,D351
G2781,1699,I768
J3203,3168,F164
B28102,2286,G661
G2307,828.5,C510
H0092,987.5,E819
B5315,1149,B713
J6032,284.5,I
D2831,1550,C456
H2057,1005,H284
B30741,2108.5,G714
G6612,556,C874
B03231,1267,B07
E0618,2851,C56
I5914,297.5,C724
H1669,2822,G258
B04684,1031,G105
F2094,272,G186
B03011,3254,F071
J8312,10624,D009
J2139,156.5,F834
C4317,576,H455
H2867,2478,I324
G2370,486,I684
I5239,336,C365
B8909,4003,J488
I0809,2716.5,F305
I6025,3840,E279
B27223,1299,I506
I0189,4291,B230
B07511,380.5,F426
H4617,5696,C51
C4613,1008,D83
B3711,464,B588
G9078,2208,D680
H3492,476.5,H701
C6924,864,E253
B02886,715.5,C509
B07299,1904,I324
B19652,1246.5,F609
J6738,1239,F347
B01715,796.5,B049
B02317,892.5,E098
B2409,16404,F403
B3240,796.5,C106
B24128,798.5,J035
C6224,144,D055
J0215,640,I
B9634,400,D328
B9896,761.5,G436
B15425,2563,I252
B23690,4433.5,J086
B05236,484,J270
D9985,25,G379
J6746,992,C111
I1907,880,B0475
D6015,13721.5,F208
B26166,2848,G597
B31820,1062.5,H941
H3209,636.5,E988
B12483,5385.5,J086
C037,1411,B775
F7791,1059.5,F420
J1234,1152,H03
B31725,230,D113
B0952,3008,J670
B0031,313.5,B0098
B8430,3162,E017
B32047,1843,E183
B3454,976,J299
B29420,720,B859
B19330,604.5,F276
B16807,1952,E422
D6764,5472,H192
E4734,884,E115
B11939,979,E822
B16788,246,E340
G7981,947.5,D544
E4944,3424,E048
B14372,1123,C555
J9322,5504,J015
G5345,252.5,C917
D0768,1120,F276
E8958,1699,C270
B00635,8832,G48
B4162,1437,G818
B5144,368,C803
D6907,1008,J582
B23892,92.5,F456
C2607,2918,J008
C6317,601.5,B945
E7256,1028,G0
E5894,1152,G673
B22612,15520,H878
B00718,570,G361
C4985,1408,F449
B02572,1005,D934
B6874,1984,E865
I1013,524.5,H656
J2836,534,H195
E8227,1592.5,H428
G7367,10208,C475
J885,1725,B089
F5491,1094,I899
B0645,1699,J41
D2976,1062.5,E309
I1278,514,I506
B2145,412.5,H364
B01217,9173,B0099
B5660,32,G812
C2885,294.5,E014
D5105,2275,C387
B03282,921.5,B192
D6368,1021,B192
F3930,656,J368
B19393,7616,I765
C3744,7968,J864
H6280,819,E422
G2022,180.5,H209
F5359,348.5,I577
C3249,1437,B713
I9972,1273.5,G607
F7278,1146,D433
B05494,10252.5,J570
H763,1656,J242
G9299,540.5,D529
B05323,1724.5,J008
I366,2275,E984
B21216,1434,I857
B28276,936,F459
H8582,432,E93
B29537,6396.5,G
B12386,736,J065
E0069,828.5,B732
B18129,1116.5,C167
B4801,1434,H023
C6329,188.5,C189
F0567,284.5,F416
B11790,4636.5,E986
B6571,928,H884
G8385,1152,J410
F8117,409.5,G835
B29655,729.5,C874
J9955,2008,B86
B13744,21984,B0004
E2913,1117,I570
E3079,1175,B0304
F5840,2361.5,E458
E5689,345.5,I069
C846,889.5,J550
B08505,2298,G786
I3280,1005,J743
D6403,784,G164
I6748,475,I28
B24397,1062.5,D448
C2740,67061,F403
F5624,5568,G483
B8671,3715,F31
D7653,1232,J397
H8927,1324.5,C733
B24995,2188.5,B0059
D220,2851,E595
B12392,3168,B0114
E6306,1568,B0541
B0868,5293,B073
H7193,1564.5,F609
C716,8352,D593
B23671,940.5,F622
B04835,6304,C874
E4185,1123,F966
G1607,4297.5,J086
G1585,4768,H141
B23885,2877,H977
B19854,584.5,B155
I7108,4502,J953
C5342,2652.5,D537
B4239,515.5,C637
E0289,412.5,F246
B04131,2099.5,D113
H686,601.5,G751
B3730,188.5,E014
I7844,1104,I945
B17301,220.5,D247
F632,4029,G687
H3107,1212.5,J041
I1379,57.5,F559
G6640,915,F921
J6073,1278.5,H539
D2201,14054,C733
H8446,1062.5,F999
B31459,216,D113
D2156,50880,J189
I1204,1261,C487
E536,1209.5,H768
F2262,8208,C690
F3993,1339,B392
G386,11680,C069
G5676,869.5,I597
B8021,1437,J375
B7109,1062.5,D113
H7892,2211,E605
B32256,953.5,B0412
D3078,1408,B0395
H8441,2528,B830
G7207,1148.5,G702
D4332,1177.5,I834
I5027,1149,D730
B8055,252.5,H34
B6761,3168,B726
I9143,3450,B380
B4901,476,D521
C8442,636.5,F459
I2146,604.5,H936
E3902,2275,D484
B2353,352,B457
J8841,1632,B137
B02456,1517,I083
D5533,796.5,J670
B08410,331,H071
F6082,944.5,D766
C7911,4433.5,J086
D2356,2174,C874
H1671,1120,J075
E3261,3488,G823
E3230,1177.5,E108
E9426,2932.5,E924
B8623,3453,B702
C4292,947.5,F353
B11839,3136,B008
B24629,1149,B62
G1474,1088,D632
F2944,392,D961
B7435,1436.5,B406
B22287,1152,D457
H6839,272,C724
C3518,560,B071
G5173,480,B840
G1727,35168,G765
D9866,416,H879
B29329,732.5,I834
J7348,2208,J242
G9752,220.5,G107
E5609,2563,F622
B17105,993.5,I834
C2495,7648,D432
D4586,3945.5,J579
B05231,3165,B20
C1984,1062.5,C31
B1713,3168,E986
H802,480,G142
E0009,667.5,C134
C6561,1149,F055
B16672,28128,C331
C2883,1895,J550
B18653,444.5,B155
J5018,560,I450
B18618,956.5,B2
J9986,2880,G367
C5147,1005,H863
B14578,572.5,E036
E8835,1264,I570
B28728,729.5,I121
B9354,672,J352
B22639,19168,B0004
C1363,1869,J099
D1284,2295,E935
D7501,236.5,G319
B23224,313.5,D844
B21059,1235.5,B438
B25653,892.5,H618
G6818,892.5,J321
B02968,10336,B137
J3694,668.5,D055
C1335,892.5,H284
F3065,1116.5,J270
B328,940.5,H738
C7787,2620.5,D992
H6070,47586,D184
C0289,318,E64
D6180,1788.5,E179
B3797,156.5,G551
J7235,3072,D561
B28471,104912.5,F403
B5504,4838,J074
I251,1895,B878
B15049,1091.5,G74
J6954,160,H8
B10950,979,H948
F5063,17075,D009
B4539,1440,H388
B20117,1584,G936
B06800,476.5,C176
H143,1123,G417
B01183,444.5,C090
E105,2298,F91
E3858,1629,J723
B6155,950,J020
F5523,53312,C099
I2844,4320,I231
B16839,5120,F269
B14176,1552,J749
B26676,1116.5,C183
B24356,307,I020
B4725,489.5,I69
J8454,384,F269
B23604,3427,I580
C4668,1009,J86
C9643,348.5,C085
G1951,444.5,B0067
B0055,1276.5,I578
D792,1146,H023
F6921,808,B0304
B26405,1134.5,D392
B4864,5088,B0333
F5449,576,C524
F433,368,H25
I0693,1984,J73
B17003,1497.5,B0471
I3870,1113.5,J86
D8818,60.5,B479
B31206,979,J270
J070,1276.5,C724
H3892,2236.5,J485
D00,2675,C874
B30682,4890,B77
G4853,252.5,J247
B8104,1593.5,H640
F0925,873.5,C874
B25772,933,F625
D7567,16649.5,G239
B25349,12729.5,E350
I9672,1293,B088
C8049,944.5,J582
B09216,764.5,E936
B04053,496,C432
G2880,10905.5,C377
C345,380.5,B0441
D4913,81231,F403
B6942,412.5,I766
B5687,1120,G372
B4198,371.5,I751
B04100,3164.5,B0099
H1433,1888,C457
G813,627,H078
F7160,5056,C51
I6379,540.5,I259
F9598,3360,F403
D3350,1900.5,J550
I5150,3072,F266
H4390,2073.5,J307
B27288,918.5,I18
B30147,572.5,B479
B12868,662.5,G936
B0690,457.5,H059
H8517,633.5,I606
C7375,304,H005
E0148,768,H1
B27933,779.5,C740
E7740,768,G116
G6160,3484.5,B2
I9308,2013,E535
F9880,636.5,J375
B9309,316.5,E014
I2737,384,J334
J4634,272,H979
B03118,3808,D045
H1169,691,E255
B10919,544,F916
G4990,1267,C814
F2915,8659,E924
B17023,1084.5,F968
B13956,957.5,F796
J4772,1434,B0412
C1973,4025.5,J086
H8036,348.5,B713
H2033,828.5,F251
F6050,892.5,D544
C1900,953.5,D647
F6374,1408,G436
B9088,36160,H551
G832,1305.5,J670
B17082,1753.5,F952
D1701,2464,F760
B0804,671,F420
B16489,907,B659
F9569,1186.5,C786
C2546,950,J897
B427,512,D77
B29134,6442.5,B0375
B1465,576,D168
B7795,921.5,B588
D5700,444.5,H291
J3461,1017.5,G936
B30748,1334,H387
C8819,1273.5,I911
J3744,5728,G823
G8803,1146,D394
J5789,1376,H145
B17707,13545.5,J789
H5226,1114.5,B859
B6827,1235,D113
J2963,1872,I834
H9031,1566.5,I305
E4004,6019,J852
D0091,220.5,F416
H5498,272,C874
C3968,1177.5,G640
J7567,1433.5,E21
F6789,201.5,B0037
E2208,8503,D184
I5542,1596.5,I402
B03656,794.5,B0167
B5240,38080,G740
F4876,185.5,D113
H2714,1987,C118
H3007,31.5,B24
B30680,1241.5,I251
B14866,4128,B90
G1815,604.5,F666
B29793,956.5,B246
B5000,908.5,H069
B12754,1072,G575
H0729,1612.5,C193
B3923,895,C874
E4244,223,G090
B14329,1033.5,F897
I4042,604.5,E396
H2094,1756.5,B0118
H5039,887,B518
H0046,15968,D651
I6872,400,E309
C2475,4434,J606
H010,563,J926
H0003,2208,B0077
I1244,2013,E865
H9810,901,C637
G3661,5088,G823
D3432,2301,B2
E7485,1280,I49
B23466,1149,H621
I1108,4089.5,I595
H5571,515.5,F081
B09184,316.5,I744
B8691,432,I909
B32566,153.5,E138
B7716,1273.5,H85
F9333,3168,D35
D525,1760,E213
B31322,659.5,E396
I6109,953.5,E169
B32163,4298,B469
G2300,8352,D593
B15267,1440,E472
C3729,313.5,I522
I1879,220.5,F416
B6143,160,E822
H8538,5155,B455
F5942,1149,F472
C5042,17502,F403
D6318,576,F427
B14343,6364.5,E967
E8778,810.5,C487
E0508,220.5,F300
E4994,540.5,H863
E6836,3424,G702
E6085,601.5,B0190
B6464,316.5,B308
E7727,1676.5,G708
D840,844.5,J483
B06585,54,E656
