UNIQUE_ID,Rev_17_GeoPod,Rev_17_B,Rev_17_C,Vol_17_GeoPod,Vol_17_B,Vol_17_C,Rev_17_GeoPod_Logistics,Rev_17_GeoPod_HR,Rev_17_GeoPod_Finance,Vol_17_GeoPod_Logistics,Vol_17_GeoPod_HR,Vol_17_GeoPod_Finance,Vol_17_Death_Event,Vol_17_Birth_Event,Vol_17_COA,Vol_17_COA_Win,Rev_17_D,Rev_17_E,Rev_17_F,Rev_17_G,Rev_17_H,Rev_17_I,Vol_17_D,Vol_17_E,Vol_17_F,Vol_17_G,Vol_17_H,Vol_17_I,Ind_2013_pushback,Ind_2014_pushback,Ind_2015_pushback,Ind_2016_pushback,Ind_2017_pushback,DataCorp_Market_Share,Major_competitor_market_share,Other_competitor_market_share,Tenure_months,Market_Segment,Sub_Segment,Sales_Person_Jun_17,RSM_Jun_17,Director_Jun_17,VP_Jun_17,Sales_Person_Dec_17,RSM_Dec_17,Director_Dec_17,VP_Dec_17,Discount_17,Count_Entities,Count_Jurisdicion,Price_Point,Vol_16_GeoPod_Logistics,Vol_16_GeoPod_HR,Vol_16_GeoPod_Finance,Vol_16_D,Vol_16_E,Vol_16_F,Vol_16_G,Vol_16_H,Vol_16_I
753,29615.03,783.38,0,621,13,0,70.46,715.77,28828.8,1,100,520,5,8,0,1,48770.18,1510,0,530,0,0,581,6,0,591,0,0,0,0,0,0,0,0.95,0,0.05,54,Large Business,Credit Unions,SP85,M7,D5,VP 2,SP17,M7,D5,VP 1,0.81,162,51,-0.28,1,580,100,750,0,0,0,0,0
824,6061,0,0,21,0,0,380,0,5681,1,1,19,0,0,0,0,540,0,0,42,0,0,4,0,0,42,0,0,0,0,0,0,0,0.52,0,0.48,151,Large Business,Credit Unions,SP126,M9,D7,VP 2,SP126,M9,D10,VP 1,0,6,10,0.13,1,21,0,8,0,0,0,0,0
831,2392,0,0,8,0,0,0,0,2392,0,0,8,0,0,0,0,288,225,0,10,0,0,2,1,0,10,0,0,0,0,0,0,0,0.65,0,0.35,121,Small Business,Small Business,SP95,M8,D6,VP 2,SP95,M5,D16,VP 1,0,3,8,0.08,0,7,0,0,0,0,0,0,0
839,1619.66,0,0,18,0,0,119.18,0,1500.48,1,1,16,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0.89,0,0.11,54,Large Business,Credit Unions,SP108,M11,D8,VP 2,SP86,M11,D10,VP 1,0.69,13,7,-0.64,1,16,0,2,0,0,0,0,0
921,1576,0,0,6,0,0,380,0,1196,1,1,4,0,0,0,0,220,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.31,0,0.69,,Large Business,Credit Unions,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,5,2,0.04,1,4,0,7,0,0,0,0,0
926,45657.5,0,0,217,0,0,266,810.6,44580.9,1,3,213,1,0,0,0,33179,23251.28,11153.5,284,24025,0,387,297,164,284,3,0,0,0,0,0,0,0.97,0,0.03,281,Large Business,Multinational Banks,SP128,M19,D14,VP 2,SP128,M18,D18,VP 1,0.3,62,51,0.55,1,214,2,344,284,123,0,3,0
929,5681,0,0,20,0,0,0,0,5681,0,0,20,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0.8,0,0.2,71,Large Business,Credit Unions,SP58,M9,D7,VP 2,SP58,M9,D10,VP 1,0.05,3,15,0.07,0,21,0,0,0,0,0,0,0
948,2473,0,0,9,0,0,380,0,2093,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.73,0,0.27,179,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,2,8,0.07,1,7,0,0,0,0,0,0,0
960,10247,0,0,35,0,0,380,0,9867,1,1,33,0,1,0,0,225,0,0,4,0,6000,37,0,17,4,0,1,0,0,0,0,0,0.88,0,0.12,15,Large Business,Credit Unions,SP58,M9,D7,VP 2,SP58,M9,D10,VP 1,0,10,17,0.24,1,31,0,56,0,18,0,0,1
984,1781.25,926.25,0,7,3,0,361,0,1420.25,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,240,Large Business,Credit Unions,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.05,4,2,0.04,1,5,0,0,0,0,0,0,0
1004,2174,0,0,8,0,0,380,0,1794,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,181,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,5,5,0.07,1,6,0,0,0,0,0,0,0
1018,16038.83,0,0,89,0,0,230.93,0,15807.9,1,1,87,2,2,0,0,2591,0,0,184,21500,0,22,0,0,184,3,0,0,0,0,0,0,0.92,0.03,0.05,26,Large Business,Multinational Banks,SP51,M19,D14,VP 2,SP51,M18,D18,VP 1,0.39,57,11,-0.01,1,89,0,14,0,0,18,2,0
1020,3370,0,0,12,0,0,380,0,2990,1,1,10,0,0,0,0,110,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.68,0,0.32,34,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,4,6,0.07,1,10,0,2,0,0,0,0,0
1085,2543.04,0,0,9,0,0,0,0,2543.04,0,0,9,0,0,0,0,219,0,0,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0.5,0,0.5,59,Large Business,Credit Unions,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.05,7,6,0.04,0,11,0,0,0,0,0,0,0
1101,7887.76,0,0,85,0,0,118.96,0,7768.8,1,1,83,3,9,0,0,2515,0,0,67,0,0,16,0,0,67,0,0,0,0,0,1,1,0.94,0,0.06,34,Large Business,Multinational Banks,SP24,M16,D13,VP 2,SP24,M16,D18,VP 1,0.69,11,35,-0.48,1,80,0,8,0,0,1,0,0
1121,3669,0,0,13,0,0,380,0,3289,1,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0.08,287,Small Business,Small Business,SP95,M8,D6,VP 2,SP95,M5,D16,VP 1,0,1,12,0.08,1,10,0,0,0,0,0,0,0
1148,15582.56,951.09,0,168,7,0,158.86,798.7,14625,1,50,117,0,0,0,0,3221,0,0,209,0,0,55,0,0,212,0,0,0,0,0,1,0,0.81,0.1,0.09,81,Large Business,Multinational Banks,SP18,M16,D13,VP 2,SP18,M16,D18,VP 1,0.58,18,45,-0.1,1,81,49,2,0,0,0,0,0
1238,34227.49,0,0,223,0,0,195.7,0,34031.79,1,1,221,0,0,0,0,1069,0,0,1051,0,0,11,0,0,1051,0,0,0,0,0,0,0,0.99,0,0.01,170,Large Business,Multinational Banks,SP136,M2,D2,VP 2,SP136,M2,D18,VP 1,0.48,52,33,0.18,1,221,0,34,0,0,0,0,0
1323,12647.41,1380,1900,73,2,1,222.41,0,12425,1,1,71,0,0,0,0,42816,0,0,2587,23700,0,167,0,0,2587,2,0,0,0,0,0,1,0.84,0,0.16,111,Large Business,Multinational Banks,SP18,M16,D13,VP 2,SP18,M16,D18,VP 1,0.41,21,47,-0.04,1,71,0,406,0,0,2164,7,0
1342,2772,0,0,10,0,0,380,0,2392,1,1,8,0,0,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0.08,0.88,0.04,142,Large Business,Multinational Banks,SP130,M11,D8,VP 2,SP87,M11,D10,VP 1,0,3,6,0.15,1,8,0,0,0,0,0,0,0
1352,1495,0,0,5,0,0,0,0,1495,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.75,0,0.25,204,Large Business,Credit Unions,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,1,5,0.04,0,5,0,0,0,0,0,0,0
1443,8369.69,0,0,73,0,0,147.18,0,8222.51,1,1,71,0,0,0,0,10567,0,0,27,0,0,127,0,0,27,0,0,0,0,0,0,0,0.96,0.01,0.03,23,Large Business,Multinational Banks,SP49,M19,D14,VP 2,SP49,M18,D18,VP 1,0.61,42,21,-0.37,1,70,0,36,0,0,0,0,0
1468,13015.89,0,0,50,0,0,335.73,0,12680.16,1,1,48,0,0,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,0,0,0.61,0,0.39,244,Large Business,Multinational Banks,SP88,M11,D8,VP 2,SP69,M11,D10,VP 1,0.12,5,43,0.13,1,48,0,6,0,0,0,0,0
1498,2241.83,0,0,11,0,0,277.4,0,1964.43,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.42,0.5,172,Large Business,Credit Unions,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.27,3,5,-0.2,1,9,0,0,0,0,0,0,0
1525,7257,0,0,25,0,0,380,0,6877,1,1,23,0,1,0,0,0,0,0,0,0,8500,1,0,16,0,0,1,0,0,0,0,0,,,,172,Large Business,Credit Unions,SP58,M9,D7,VP 2,SP58,M9,D10,VP 1,0,5,22,0.24,1,23,0,48,0,8,0,0,1
1533,8282.49,0,0,47,0,0,227.49,0,8055,1,1,45,2,2,0,0,0,0,0,28,15500,0,0,0,0,47,2,0,0,0,0,0,0,0.83,0.02,0.15,124,Large Business,Multinational Banks,SP27,M11,D8,VP 2,SP27,M11,D10,VP 1,0.4,13,32,-0.24,1,44,0,0,0,0,0,2,0
1645,1941.2,0,0,11,0,0,240.2,0,1701,1,1,9,3,1,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0,1,0,,,,217,Large Business,Multinational Banks,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.37,6,3,-0.31,1,10,0,0,0,0,3,0,0
1650,8111.67,0,0,95,0,0,108.28,164.99,7838.4,1,2,92,0,1,0,1,2421.38,0,0,311,0,0,39,0,0,311,0,0,0,0,0,0,0,,,,119,Large Business,Multinational Banks,SP20,M19,D14,VP 2,SP20,M18,D18,VP 1,0.72,8,48,-0.54,1,90,1,48,0,0,-48,0,0
1694,711.63,0,0,6,0,0,171.59,0,540.04,1,1,4,0,1,0,0,431,0,220.5,1,0,0,7,0,3,1,0,0,0,0,0,0,0,0.8,0.2,0,287,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.55,3,4,-0.54,1,6,0,2,0,7,0,0,0
1700,279841.5,3283.5,4400,4550,40,2,233.25,2829.93,276778.32,3,23,4524,427,222,62,34,431502.19,10176,33857.2,6003,0,0,4393,37,600,6158,0,0,0,0,0,0,0,0.87,0.08,0.05,119,Large Business,Multinational Banks,SP42,M7,D5,VP 2,SP42,M7,D5,VP 1,0.8,732,51,-0.2,1,5371,27,7565,0,714,0,0,0
1789,30768.75,0,2500,137,0,1,285,434.25,30049.5,1,2,134,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.01,0.14,240,Large Business,Investment Firms,SP31,M12,D9,VP 2,SP31,M12,D5,VP 1,0.25,43,33,0.67,1,151,1,2,0,0,1,0,0
1799,3678.03,0,0,44,0,0,108.03,0,3570,1,1,42,0,2,0,1,2974.2,0,0,31,0,0,29,0,0,31,0,0,0,0,0,0,0,0.76,0.04,0.2,40,Large Business,Credit Unions,SP50,M9,D7,VP 2,SP50,M9,D10,VP 1,0.72,15,18,-0.65,1,39,0,22,0,0,0,0,0
1822,3669,0,0,13,0,0,380,0,3289,1,1,11,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.67,0,0.33,32,Small Business,Small Business,SP19,M8,D6,VP 2,SP19,M5,D16,VP 1,0,5,7,0.08,1,11,0,0,0,0,0,0,0
1836,9213.38,79.7,2700,169,1,2,93.18,468.44,8651.76,1,50,118,3,0,0,0,0,0,0,89,0,0,0,0,0,89,0,0,0,0,0,0,0,0.05,0,0.95,108,Large Business,Multinational Banks,SP24,M16,D13,VP 2,SP24,M16,D18,VP 1,0.75,20,39,-0.47,1,123,49,1,0,0,0,0,0
1857,11411.2,0,0,48,0,0,306.8,0,11104.4,1,1,46,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,,,,57,Large Business,Credit Unions,SP18,M16,D13,VP 2,SP18,M16,D18,VP 1,0.19,9,27,0.08,1,46,0,0,0,0,0,0,0
1882,4195.08,171.18,0,54,2,0,100.08,0,4095,1,1,52,6,1,0,0,5922.75,0,0,22,0,0,69,0,0,0,0,0,0,0,0,0,0,0.17,0.64,0.19,,Small Business,Small Business,SP96,M2,D2,VP 2,SP96,M2,D18,VP 1,0.74,23,4,-0.5,1,57,0,47,0,0,0,0,0
1895,1807.56,1160.72,0,15,8,0,339.28,0,1468.28,2,2,11,0,1,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0.21,0,0.79,96,Large Business,Multinational Banks,SP43,M11,D8,VP 2,SP43,M11,D10,VP 1,0.55,11,5,-0.49,1,11,0,0,0,0,0,0,0
1927,10485.45,0,0,47,0,0,288,0,10197.45,1,1,45,0,5,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,,,,188,Small Business,Small Business,SP108,M11,D8,VP 2,SP86,M11,D10,VP 1,0.24,8,38,-0.03,1,36,0,0,0,0,-1,0,0
1930,4267,0,0,15,0,0,380,0,3887,1,1,13,0,0,0,0,55,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.02,0.81,0.18,172,Small Business,Small Business,SP41,M8,D6,VP 2,SP41,M5,D16,VP 1,0,2,11,0.08,1,13,0,1,0,0,0,0,0
2003,2870.32,0,0,39,0,0,95.32,0,2775,1,1,37,0,5,0,0,10350.6,0,0,8,0,0,63,0,21,8,0,0,0,0,0,0,0,0.95,0.05,0,221,Large Business,Credit Unions,SP25,M9,D7,VP 2,SP25,M9,D10,VP 1,0.75,1,38,-0.69,1,30,0,68,0,13,0,0,0
2073,3692.65,0,0,13,0,0,0,0,3692.65,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.05,172,Small Business,Small Business,SP97,M3,D3,VP 2,SP97,M3,D16,VP 1,0.05,1,13,-0.02,0,1,0,1,0,0,0,0,0
2132,3887,0,0,13,0,0,0,0,3887,0,0,13,0,1,0,0,370,0,960,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0.93,0,0.07,287,Small Business,Small Business,SP92,M8,D6,VP 2,SP132,M5,D16,VP 1,0,1,13,0.08,0,12,0,2,0,0,0,0,0
2150,21627,162.5,0,188,1,0,190,955.5,20481.5,1,50,137,29,27,0,1,53133,0,0,76,11533,0,415,0,0,76,2,0,1,0,0,0,0,0.82,0,0.18,145,Large Business,Multinational Banks,SP38,M16,D13,VP 2,SP38,M16,D18,VP 1,0.5,60,30,0.07,1,144,49,76,0,0,0,2,0
2152,12181.67,1130.48,0,153,13,0,101.67,0,12080,1,1,151,5,8,2,5,7768.2,0,4942.08,162,0,0,99,0,52,162,0,0,0,1,0,0,0,0.88,0.01,0.11,55,Large Business,Multinational Banks,SP47,M2,D2,VP 2,SP47,M2,D18,VP 1,0.73,60,24,-0.47,1,145,0,76,0,67,1,0,0
2185,17897.45,1422.6,0,288,6,0,77.35,475,17345.1,1,2,285,7,3,0,0,18117,860,0,820,11962,0,173,12,0,820,3,0,0,0,0,0,0,0.96,0,0.04,115,Large Business,Multinational Banks,SP85,M7,D5,VP 2,SP17,M7,D5,VP 1,0.8,38,51,-0.41,1,301,1,290,11,0,1,2,0
2225,12399.51,0,0,96,0,0,165.41,0,12234.1,1,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.01,0.13,90,Large Business,Multinational Banks,SP18,M16,D13,VP 2,SP18,M16,D18,VP 1,0.56,16,26,-0.28,1,96,0,0,0,0,0,0,0
2242,6312.79,0,0,36,0,0,227.47,0,6085.32,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06,0.94,0,,Large Business,Credit Unions,SP3,M9,D7,VP 2,SP3,M9,D10,VP 1,0.4,2,34,-0.26,1,34,0,0,0,0,4,0,0
2267,47748.61,0,0,487,0,0,135.35,1711.76,45901.5,1,55,431,2,5,0,1,47491.99,0,0,1298,0,0,509,0,0,1286,0,0,1,0,0,1,0,0.83,0.14,0.03,83,Large Business,Multinational Banks,SP85,M7,D5,VP 2,SP17,M7,D5,VP 1,0.64,139,51,0.39,1,431,54,936,0,0,1,0,0
2270,1875,0,0,7,0,0,380,0,1495,1,1,5,0,0,0,0,862,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0.78,0,0.22,287,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,6,1,0.07,1,5,0,8,0,0,0,0,0
2310,1576,0,0,6,0,0,380,0,1196,1,1,4,0,0,0,0,564,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,246,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,3,3,0.02,1,4,0,3,0,0,0,0,0
