UNIQUE_ID,Rev_17_GeoPod,Rev_17_B,Rev_17_C,Vol_17_GeoPod,Vol_17_B,Vol_17_C,Rev_17_GeoPod_Logistics,Rev_17_GeoPod_HR,Rev_17_GeoPod_Finance,Vol_17_GeoPod_Logistics,Vol_17_GeoPod_HR,Vol_17_GeoPod_Finance,Vol_17_Death_Event,Vol_17_Birth_Event,Vol_17_COA,Vol_17_COA_Win,Rev_17_D,Rev_17_E,Rev_17_F,Rev_17_G,Rev_17_H,Rev_17_I,Vol_17_D,Vol_17_E,Vol_17_F,Vol_17_G,Vol_17_H,Vol_17_I,Ind_2013_pushback,Ind_2014_pushback,Ind_2015_pushback,Ind_2016_pushback,Ind_2017_pushback,DataCorp_Market_Share,Major_competitor_market_share,Other_competitor_market_share,Tenure_months,Market_Segment,Sub_Segment,Sales_Person_Jun_17,RSM_Jun_17,Director_Jun_17,VP_Jun_17,Sales_Person_Dec_17,RSM_Dec_17,Director_Dec_17,VP_Dec_17,Discount_17,Count_Entities,Count_Jurisdicion,Price_Point,Vol_16_GeoPod_Logistics,Vol_16_GeoPod_HR,Vol_16_GeoPod_Finance,Vol_16_D,Vol_16_E,Vol_16_F,Vol_16_G,Vol_16_H,Vol_16_I,Attrition_Flag
235,7075.55,0,0,49,0,0,186.29,-2.84E-14,6889.26,1,1,47,2,0,0,0,0,0,0,163,0,0,0,0,0,163,0,0,0,0,0,0,0,0.9,0,0.1,245,Large Business,Multinational Banks,SP33,M2,D2,VP 2,SP33,M2,D18,VP 1,0.50976589,22,22,-0.35,1,49,0,1,0,0,113,0,0,0
247,15413.45,0,0,83,0,0,238.1,3.69E-13,15175.35,1,1,81,0,0,0,0,2487,0,0,205,13978,0,25,0,0,205,2,0,0,0,0,0,0,0.42,0.49,0.09,69,Large Business,Multinational Banks,SP20,M19,D14,VP 2,SP20,M18,D18,VP 1,0.37341137,28,23,0.018,1,82,0,33,1,0,103,2,0,1
260,18619.76,0,0,110,0,0,216.56,-2.33E-12,18403.2,1,1,108,0,1,0,0,350,0,0,87,0,0,3,0,0,87,0,0,0,0,0,0,0,0.98,0.02,0,125,Large Business,Multinational Banks,SP47,M2,D2,VP 2,SP47,M2,D18,VP 1,0.43010033,41,40,0.129,1,107,0,4,0,0,21,0,0,0
262,20912.03,0,0,123,0,0,214.08,652.4,20045.55,1,3,119,0,2,0,0,7275.2,0,0,80,0,0,75,0,0,80,0,0,1,0,0,0,0,0.64,0,0.36,152,Large Business,Multinational Banks,SP32,M19,D14,VP 2,SP32,M18,D18,VP 1,0.43662207,57,24,0.093,1,155,3,174,0,0,0,0,0,0
263,12082.44,0,0,48,0,0,324.84,1.71E-13,11757.6,1,1,46,1,6,0,0,4601,0,0,9,0,0,45,0,0,9,0,0,0,0,0,0,0,0.93,0,0.07,42,Large Business,Multinational Banks,SP27,M11,D8,VP 2,SP27,M11,D10,VP 1,0.1451505,12,30,0.091,1,37,0,67,0,0,0,2,0,0
289,36891,650,0,236,4,0,190,2316,34385,1,5,230,12,5,0,0,25718,0,0,98,11109,0,754,0,0,98,2,0,0,0,0,0,0,0.88,0,0.12,141,Large Business,Multinational Banks,SP118,M16,D13,VP 2,SP118,M16,D18,VP 1,0.5,71,43,0.239,1,239,3,342,0,0,0,2,0,0
297,23484.6,0,0,88,0,0,342,0,23142.6,1,1,86,1,36,0,0,8986,550,0,7,0,0,61,2,0,7,0,0,0,0,0,0,0,0.99,0.01,0,71,Large Business,Multinational Banks,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.1,12,35,0.433,1,50,0,13,0,0,0,0,0,0
302,37387.54,102.43,0,480,1,0,119.77,1362.33,35905.44,1,98,381,17,7,0,0,22708.95,0,0,827,18978,0,209,0,0,827,4,0,0,0,0,0,0,0.85,0.1,0.05,46,Large Business,Multinational Banks,SP85,M7,D5,VP 2,SP17,M7,D5,VP 1,0.68481605,81,48,-0.08,1,392,97,337,3,0,1,3,0,0
312,4915.63,0,0,23,0,0,280.51,2.27E-13,4635.12,1,1,21,0,1,0,0,0,0,0,346,0,0,0,0,0,349,0,0,0,0,0,0,0,,,,14,Large Business,Investment Firms,SP125,M12,D9,VP 2,SP125,M12,D5,VP 1,0.26180602,14,5,0.027,1,18,0,0,0,0,0,0,0,0
330,69253.33,0,0,637,0,0,136.45,1158,67958.88,1,3,633,15,37,0,58,7666,2375,47102.94,20,13375,0,120,5,510,20,2,0,0,0,0,0,0,0.9,0.01,0.09,99,Large Business,Multinational Banks,SP117,M2,D2,VP 2,SP117,M2,D18,VP 1,0.64093645,59,51,0.272,1,540,2,35,1,480,0,2,0,0
331,12239.97,0,0,63,0,0,249.81,-5.12E-13,11990.16,1,1,61,0,0,0,0,0,0,0,54,0,0,0,0,0,26,0,0,0,0,0,0,0,0.31,0.63,0.06,158,Large Business,Multinational Banks,SP43,M11,D8,VP 2,SP43,M11,D10,VP 1,0.3426087,20,24,0.079,1,62,0,0,0,0,3,0,0,0
332,15740.55,63.38,0,258,1,0,74.1,1030.64,14635.81,1,6,251,15,13,0,0,63785.7,275,0,1096,0,0,555,1,0,0,0,0,0,0,0,0,0,0.9,0.04,0.06,59,Large Business,Multinational Banks,SP38,M16,D13,VP 2,SP38,M16,D18,VP 1,0.80498328,61,51,-0.46,1,455,5,498,1,0,0,0,0,0
334,76006.22,0,0,837,0,0,114.38,1101.84,74790,1,5,831,247,428,0,6,200240.3,34750,0,398,0,0,1534,91,0,398,0,0,0,0,0,0,0,0.99,0,0.01,22,Large Business,Credit Unions,SP49,M19,D14,VP 2,SP49,M18,D18,VP 1,0.69899666,78,51,0.002,1,635,4,32,0,0,1,0,0,0
343,6051.76,0,0,22,0,0,0,0,6051.76,0,0,22,0,0,0,0,0,0,0,35,0,0,0,0,0,35,0,0,0,0,0,0,0,,,,287,Large Business,Multinational Banks,SP50,M9,D7,VP 2,SP50,M9,D10,VP 1,0.08,1,22,0.142,0,22,0,0,0,0,0,0,0,0
353,19812.95,0,0,142,0,0,174.27,579,19059.68,1,2,139,2,0,0,0,1064.4,0,0,1338,0,0,10,0,0,1317,0,0,0,0,0,0,0,0.91,0,0.09,26,Large Business,Multinational Banks,SP18,M16,D13,VP 2,SP18,M16,D18,VP 1,0.54140468,42,40,-0.02,1,138,0,29,0,0,0,0,0,0
373,30271.26,0,0,326,0,0,195.7,2973.32,27102.24,1,149,176,0,0,0,0,303,0,0,24,0,0,6,0,0,24,0,0,0,0,0,0,0,0.96,0,0.04,118,Large Business,Multinational Banks,SP24,M16,D13,VP 2,SP24,M16,D18,VP 1,0.48498328,27,51,0.276,1,176,148,6,0,0,0,0,0,0
378,99104.83,117.83,0,904,1,0,137.78,2048.51,96918.54,1,9,894,44,28,1,0,14998,0,0,642,0,0,157,0,0,535,0,0,0,0,0,0,0,0.66,0.04,0.3,34,Large Business,Multinational Banks,SP55,M7,D5,VP 2,SP55,M7,D5,VP 1,0.63742475,142,51,0.41,1,932,5,137,0,0,2,0,0,0
388,9061.42,0,0,63,0,0,182.2,277.62,8601.6,1,2,60,2,0,1,3,16588.7,0,0,66,0,0,164,0,0,66,0,0,0,0,0,0,0,0.83,0.01,0.16,140,Large Business,Multinational Banks,SP33,M2,D2,VP 2,SP33,M2,D18,VP 1,0.52053512,17,44,-0.18,1,77,1,56,0,0,0,0,0,0
389,5586.96,0,2500,95,0,1,72.44,441.52,5073,1,5,89,0,0,0,0,22879.5,0,3292,189,0,0,358,0,36,143,0,0,1,0,0,0,0,0.72,0,0.28,22,Large Business,Multinational Banks,SP40,M19,D14,VP 2,SP40,M18,D18,VP 1,0.80936455,21,39,-0.69,1,87,4,212,0,14,0,0,0,0
398,5762,0,0,20,0,0,380,0,5382,1,1,18,0,0,0,0,0,0,0,0,0,3700,0,0,13,0,0,1,0,0,0,0,0,,,,52,Small Business,Small Business,SP76,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,1,19,0.066,1,18,0,2,0,17,0,0,1,0
403,3769.6,0,0,14,0,0,361,0,3408.6,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.78,0,0.22,105,Large Business,Credit Unions,SP27,M11,D8,VP 2,SP27,M11,D10,VP 1,0.05,6,9,0.089,1,12,0,143,0,0,0,0,0,0
426,2243.06,0,0,11,0,0,277.55,-5.68E-14,1965.51,1,1,9,1,1,0,0,101,0,0,44,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,Large Business,Credit Unions,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.26959866,6,6,-0.2,1,11,0,0,0,0,79,0,0,1
433,52131.52,10113.3,0,505,90,0,131.38,-2.61E-12,52000.14,1,1,503,22,20,0,18,66285.65,275,7141,1014,0,0,708,1,98,1253,0,0,0,0,0,0,0,0.97,0,0.03,107,Large Business,Multinational Banks,SP42,M7,D5,VP 2,SP42,M7,D5,VP 1,0.65424749,196,51,0.344,1,508,0,833,1,0,0,0,0,0
448,2349.35,0,0,9,0,0,361,0,1988.35,1,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.83,287,Small Business,Small Business,SP37,M8,D6,VP 2,SP37,M5,D16,VP 1,0.05,6,3,0.023,1,11,0,0,0,0,0,0,0,1
453,14177.6,0,0,60,0,0,304,0,13873.6,1,1,58,0,2,0,0,2939,1680,0,12,0,0,17,8,0,12,0,0,0,0,0,0,0,0.85,0,0.15,224,Large Business,Credit Unions,SP27,M11,D8,VP 2,SP27,M11,D10,VP 1,0.2,4,37,0.313,1,56,0,17,0,0,0,0,0,0
456,7145.05,0,0,49,0,0,188.11,5.68E-13,6956.94,1,1,47,0,0,0,0,0,4915,0,38,0,0,0,16,0,38,0,0,0,0,0,0,0,0.84,0,0.16,273,Large Business,Credit Unions,SP32,M19,D14,VP 2,SP32,M18,D18,VP 1,0.50494983,5,38,-0.3,1,47,0,0,0,0,0,0,0,0
461,7191.57,0,0,114,0,0,80.69,-3.98E-13,7110.88,1,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0.87,0.02,0.12,144,Large Business,Investment Firms,SP18,M16,D13,VP 2,SP18,M16,D18,VP 1,0.78765886,33,17,-0.55,1,117,0,0,0,0,0,0,0,0
463,3408.6,0,0,12,0,0,0,0,3408.6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,21,Large Business,Multinational Banks,SP126,M9,D7,VP 2,SP126,M9,D10,VP 1,0.05,3,9,0.073,0,12,0,6,2,0,0,0,0,0
474,2772,0,0,10,0,0,380,0,2392,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,287,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,4,6,0.066,1,8,0,0,0,0,0,0,0,0
480,1422.09,0,0,6,0,0,342.89,-1.14E-13,1079.2,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0.17,,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.09765886,2,4,-0.08,1,11,0,0,0,0,0,0,0,0
486,23436.88,0,0,116,0,0,258.4,1.48E-12,23178.48,1,1,114,0,1,0,0,948,0,0,45,0,0,6,0,0,45,0,0,0,0,0,0,0,0.95,0,0.05,95,Large Business,Credit Unions,SP68,M16,D13,VP 2,SP68,M16,D18,VP 1,0.32,13,42,0.457,1,111,0,14,0,0,0,0,0,0
488,35407.29,156.2,0,536,2,0,91.31,756.13,34559.85,1,54,481,21,6,1,3,73520.8,0,12545,427,0,0,640,0,102,427,0,0,0,0,0,0,0,0.71,0.2,0.09,72,Large Business,Multinational Banks,SP55,M7,D5,VP 2,SP55,M7,D5,VP 1,0.759699,62,51,-0.07,1,444,53,169,0,0,0,0,0,1
512,8295.76,0,0,38,0,0,282.88,1.14E-13,8012.88,1,1,36,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.64,0,0.36,138,Small Business,Small Business,SP50,M9,D7,VP 2,SP50,M9,D10,VP 1,0.25558528,16,7,-0.02,1,36,0,0,0,0,0,0,0,0
544,3588,0,0,12,0,0,0,0,3588,0,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,,,,191,Large Business,Multinational Banks,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,3,5,0.099,0,10,0,0,0,0,0,0,0,0
550,11591.12,0,0,81,0,0,183.52,4.26E-13,11407.6,1,1,79,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,107,Small Business,Small Business,SP49,M19,D14,VP 2,SP49,M18,D18,VP 1,0.51705686,7,48,-0.28,1,79,0,0,0,0,0,0,0,0
555,92853.64,0,0,654,0,0,177.84,2980.67,89695.13,1,12,641,3,0,0,0,2722,0,0,2625,16490,0,19,0,0,2625,3,0,0,0,0,0,0,0.92,0,0.07,83,Large Business,Multinational Banks,SP85,M7,D5,VP 2,SP17,M7,D5,VP 1,0.53200669,61,51,0.819,1,647,11,391,0,0,0,3,0,0
561,3071,0,0,11,0,0,380,0,2691,1,1,9,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,,,,38,Small Business,Small Business,SP45,M20,D15,VP 2,SP45,M4,D16,VP 1,0,5,2,0.06,1,9,0,5,0,0,0,0,0,0
573,2174,0,0,8,0,0,380,0,1794,1,1,6,0,0,0,0,275,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.88,0,0.13,196,Large Business,Credit Unions,SP54,M8,D6,VP 2,SP54,M5,D16,VP 1,0,6,3,0.108,1,6,0,5,0,0,0,0,0,0
579,3571.2,0,0,14,0,0,342,0,3229.2,1,1,12,1,0,0,0,38,0,0,0,0,6750,20,0,6,0,0,1,1,0,0,0,0,0.93,0,0.07,34,Small Business,Small Business,SP10,M11,D8,VP 2,SP10,M11,D10,VP 1,0.1,13,2,0.053,1,13,0,6,0,0,0,0,1,0
581,27519.54,0,2500,124,0,1,277.4,1268.01,25974.13,1,4,119,0,0,0,3,11818.74,0.01,7510.18,56,0,0,102,1,65,56,0,0,0,0,0,0,0,0.96,0,0.04,90,Large Business,Multinational Banks,SP88,M11,D8,VP 2,SP69,M11,D10,VP 1,0.27,14,50,0.531,1,116,3,146,0,74,0,0,0,0
619,2093,0,0,7,0,0,0,0,2093,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0.33,287,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,1,7,0.066,0,7,0,0,0,0,0,0,0,0
620,13835,0,0,47,0,0,380,0,13455,1,1,45,6,25,0,0,7795,0,0,99,0,0,58,0,0,44,0,0,0,0,0,0,0,0.79,0.02,0.19,75,Large Business,Multinational Banks,SP43,M11,D8,VP 2,SP43,M11,D10,VP 1,0,5,36,0.276,1,26,0,7,0,0,55,0,0,0
621,33167.01,0,0,194,0,0,214.98,982.68,31969.35,1,4,189,0,0,0,0,14005.8,0,0,290,0,0,147,0,0,290,0,0,0,0,0,0,0,0.96,0.01,0.02,85,Large Business,Multinational Banks,SP128,M19,D14,VP 2,SP128,M18,D18,VP 1,0.43428094,51,48,0.252,1,187,3,207,0,0,0,0,0,0
622,54652.06,1568.32,0,300,8,0,229.22,1397,53025.84,1,5,294,46,8,0,1,27282.63,0,13011,139,0,0,250,0,132,140,0,0,0,0,0,0,0,0.86,0.04,0.11,42,Large Business,Multinational Banks,SP120,M19,D14,VP 2,SP120,M18,D18,VP 1,0.3967893,48,49,0.407,1,326,4,124,1,0,0,0,0,0
634,2473,0,0,9,0,0,380,0,2093,1,1,7,0,0,0,0,0,0,0,81,0,0,0,0,0,81,0,0,0,0,0,0,0,0.55,0,0.45,176,Large Business,Multinational Banks,SP108,M11,D8,VP 2,SP86,M11,D10,VP 1,0,3,4,0.146,1,7,0,8,0,0,93,0,0,0
646,31492.79,1085.16,0,190,6,0,211.47,1.17E-12,31281.32,1,1,188,5,1,0,0,6388,0,0,248,0,0,50,0,0,283,0,0,0,0,0,0,0,0.95,0,0.05,157,Large Business,Multinational Banks,SP47,M2,D2,VP 2,SP47,M2,D18,VP 1,0.44351171,44,50,0.273,1,191,0,198,0,0,0,0,0,0
647,7776.76,299,0,29,1,0,349.6,3.41E-13,7427.16,1,1,27,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0.74,0,0.26,109,Large Business,Multinational Banks,SP108,M11,D8,VP 2,SP86,M11,D10,VP 1,0.08,17,17,0.174,1,27,0,0,0,0,0,0,0,0
668,2065.3,0,0,8,0,0,361,2.27E-13,1704.3,1,1,6,0,0,0,0,469,0,0,20,0,0,3,0,0,20,0,0,0,0,0,0,0,0.91,0,0.09,31,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,SP73,M3,D16,VP 1,0.05,3,4,0.013,1,6,0,0,0,0,4,0,0,0
669,3289.89,0,0,23,0,0,0,115.05,3174.84,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.06,0.18,112,Small Business,,SP105,M15,D12,VP 2,SP105,M10,D1,VP 1,0.41010033,1,18,-0.16,0,18,5,0,0,0,0,0,0,0
